id	estado_id	cidade_id	bairro_id	IFNULL(cep, '')	IFNULL(logradouro, '')	IFNULL(complemento, '')	IFNULL(numero, '')	IFNULL(latitude, '')	IFNULL(longitude, '')
1	1	1	53	78050-568	Avenida Oátomo Canavarros		1077		
2	1	1	2	78043-315	avenida miguel sutil	Duque de Caxias	8575		
3	1	1	8		Avenida Historiador Rubens de Mendonça		1731		
4	1	1	3		Avenida Brasília		210		
5	1	1	7	78048-000	Avenida Miguel Sutil		6344		
6	1	1	38		Av. Miguel Sutil, em frente ao Parque Mãe Bonifácia		6344		
7	1	1	5		Av. Jose Monteiro de Figueiredo, Duque de Caxias	Master Center, 6º andar	714		
8	1	1	5		Rua Barão de Melgaço	Edificio Work Tower, loja térrea	2754		
9	1	1	2		Avenida Miguel Sutil		8575		
10	15	11	117		Av. Paulista, 1.294, 13º andar	13° andar	1294		
11	1	1	5		Rua Coronel Neto		305		
12	1	1	12		Avenida Rui Barbosa		445		
13	1	1	6	78-020-450	Av. Tenente Coronel Duarte, Centro, Cuiabá - MT		2057 B		
14	1	1	7		Avenida Historiador Rubens de Mendonça	Sala 1702 a 1704	1894		
15	1	1	8		Rua Doutor Paulo Epaminondas		68		
16	1	1	15		Avenida Beira Rio		180		
17	1	1	8	78048-450	Rua Oriente Tenuta	(Lot Consil)	440		
18	1	1	3		Piso: America do Norte, Avenida Brasilia		146		
19	1	1	11		Rua Américo Salgado		1017		
20	1	1	6		Travessa Léo Edilberto Griggi		625		
21	1	1	3		Rua Manoel da Costa Granja	Sala 102,	452		
22	1	1	7		Avenida Historiador Rubens de Mendonça	Sala 1702 a 1704	1894		
23	1	1	56		Rua Leonides de Carvalho		15		
24	1	1	56		Avenida Historiador Rubens de Mendonça	Salas 1907 a 1909	1894		
25	1	1	79		Av. República do Líbano	Lt. B-4	1055		
26	1	1	16		Rua João Bento		732		
27	1	1	5		Rua Barão de Melgaço		2290		
28	1	1	68		Avenida República do Libano		2255		
29	1	1	35		Rua Presidente Afonso		27		
30	1	1	9		Avenida Historiador Rubens de Mendonça	1309	1731		
